Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
6005,60,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,133333.3333,33333.33333,60.0,0.0,60,60,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,16666.66667,16666.66667,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
54637,3,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,10300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,114,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
1028,57,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,140350.8772,35087.7193,57.0,0.0,57,57,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,17543.85965,17543.85965,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
524,92,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,86956.52174,21739.13043,92.0,0.0,92,92,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,10869.56522,10869.56522,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
255,76,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,105263.1579,26315.78947,76.0,0.0,76,76,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,13157.89474,13157.89474,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,86913840,7,6,342,11595,342,0,48.85714286,129.2638498,5792,0,1932.5,2537.820147,137.3429134,0.149573417,7242820.0,24800000.0,85900000,3,86900000,14500000.0,35000000.0,85900000,233,1198,239.6,386.0839287,921,3,0,0,0,0,240,200,0.080539532,0.069033885,0,5792,852.6428571,1851.173416,3426843.016,0,0,0,0,1,0,0,0,0,918.2307692,48.85714286,1932.5,240,0,0,0,0,0,0,7,342,6,11595,274,235,1,32,498.0,0.0,498,498,85900000.0,0.0,85900000,85900000
3168,55,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,145454.5455,36363.63636,55.0,0.0,55,55,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,18181.81818,18181.81818,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
21,9426296,9,15,102,188,22,0,11.33333333,8.93028555,34,0,12.53333333,14.54975045,30.76500038,2.546068997,409838.9565,1066521.95,3272631,3,6228462,778557.75,1443603.272,3314516,4,9426177,673298.3571,1316789.933,3272631,3,0,0,0,0,296,488,0.954775874,1.591293123,0,34,11.6,12.5,156.25,0,0,0,1,0,0,0,0,1,12.08333333,11.33333333,12.53333333,296,0,0,0,0,0,0,9,102,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0
22,12132626,23,32,2008,2745,640,0,87.30434783,136.3399611,976,0,85.78125,220.240592,391.7536072,4.533231305,224678.2593,616618.5707,2187003,3,9903945,450179.3182,839888.2483,2227659,539,12100000,391371.0645,777441.2747,2187003,3,0,0,0,0,744,1032,1.89571491,2.637516396,0,976,84.875,186.8396554,34909.05682,0,0,0,1,0,0,0,0,1,86.41818182,87.30434783,85.78125,744,0,0,0,0,0,0,23,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0
53,31005,2,2,88,198,44,44,44.0,0.0,99,99,99.0,0.0,9224.318658,129.0114498,10335.0,17857.45864,30955,2,2,2.0,0.0,2,2,48,48.0,0.0,48,48,0,0,0,0,64,40,64.50572488,64.50572488,44,99,66.0,30.12474066,907.5,0,0,0,0,0,0,0,0,1,82.5,44.0,99.0,64,0,0,0,0,0,0,2,88,2,198,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
35425,400,3,0,31,0,31,0,10.33333333,17.89785834,0,0,0.0,0.0,77500.0,7500.0,200.0,278.6000718,397,3,400,200.0,278.6000718,397,3,0,0.0,0.0,0,0,0,0,0,0,96,0,7500.0,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,10.33333333,0.0,96,0,0,0,0,0,0,3,31,0,0,68,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,40174,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,289565.3906,199.1337681,5739.142857,14701.75334,39075,4,860,430.0,465.276262,759,101,40132,10033.0,19365.16204,39075,4,0,0,0,0,72,112,74.67516304,124.4586051,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
53,146,2,2,74,106,37,37,37.0,0.0,53,53,53.0,0.0,1232876.712,27397.26027,48.66666667,78.23255929,139,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,13698.63014,13698.63014,37,53,43.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,54.25,37.0,53.0,40,0,0,0,0,0,0,2,74,2,106,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
21,9467574,9,15,123,188,37,0,13.66666667,12.55985669,34,0,12.53333333,14.54975045,32.84896426,2.534968303,411633.6522,1073041.809,3360860,3,6232766,779095.75,1449409.238,3404550,219,9467482,676248.7143,1325087.869,3360860,3,0,0,0,0,296,488,0.950613114,1.58435519,0,37,12.44,13.53107535,183.09,0,0,0,1,0,0,0,0,1,12.95833333,13.66666667,12.53333333,296,0,0,0,0,0,0,9,123,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0
2022,53,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,113207.5472,37735.84906,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,18867.92453,18867.92453,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
22,11506162,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,413.0830072,4.606227515,221272.3462,593789.1257,2136212,3,9718276,485913.8,855241.4445,2201196,448,11500000,371163.4194,736202.8532,2136212,3,0,0,0,0,680,1032,1.825109015,2.7811185,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0
50993,22,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,45454.54545,45454.54545,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,358,333,0,32,0.0,0.0,0,0,0.0,0.0,0,0
443,394566,7,8,1567,1000,1261,0,223.8571428571,464.6444621326,805,2,125.0,276.338301983,6505.8824125748,38.0164535211,28183.2857142857,31974.8541066704,96253,4,370425,61737.5,40010.2200281378,118036,23764,370847,52978.1428571429,53693.2120769735,120260,4,0,0,0,0,152,164,17.7410116432,20.2754418779,0,1261,160.4375,355.3259477813,126256.529166667,0,0,0,1,0,0,0,0,1,171.1333333333,223.8571428571,125.0,152,0,0,0,0,0,0,7,1567,8,1000,8192,40958,6,20,0.0,0.0,0,0,0.0,0.0,0,0
22,13162876,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,361.0912995,4.026475673,253132.2308,679572.2612,2304128,3,11000000,549467.45,961534.5776,2349856,259,13200000,424605.3226,842588.7554,2304128,3,0,0,0,0,680,1032,1.595396021,2.431079652,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0
1199,72,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,111111.1111,27777.77778,72.0,0.0,72,72,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,13888.88889,13888.88889,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,1209056,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,9621.555991,7.443823942,151132.0,427083.6346,1208110,13,619,309.5,368.402633,570,49,1208979,241795.8,540186.1131,1208110,13,0,0,0,0,72,132,2.481274647,4.962549295,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
80,82493645,9,5,62,11607,20,0,6.888888889,5.30199124,10135,0,2321.4,4413.201989,141.4533204,0.169710043,6345665.0,21100000.0,76400000,1,82400000,10300000.0,26800000.0,76400000,1,96832,24208.0,47554.42701,95536,4,0,0,0,0,192,112,0.109099313,0.060610729,0,10135,778.3333333,2615.387752,6840253.095,0,0,0,0,1,0,0,0,0,833.9285714,6.888888889,2321.4,192,0,0,0,0,0,0,9,62,5,11607,256,229,7,20,1008.0,0.0,1008,1008,41200000.0,49800000.0,76400000,5971859
443,209605,7,5,376,3508,201,0,53.71428571,78.68653906,1460,0,701.6,731.5646246,18530.09232,57.25054269,19055.0,32814.25903,84860,13,209605,34934.16667,40420.08074,89098,5055,95905,23976.25,45154.02909,91654,71,0,0,0,0,152,112,33.3961499,23.85439279,0,1460,298.7692308,539.9757948,291573.859,0,0,0,1,0,0,0,0,0,323.6666667,53.71428571,701.6,152,0,0,0,0,0,0,7,376,5,3508,8192,60,6,20,0.0,0.0,0,0,0.0,0.0,0,0
443,4861361,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,34.76392722,1.234222268,972272.2,2140681.82,4801440,16,4861361,1215340.25,2390846.266,4801440,16,0,0.0,0.0,0,0,1,0,0,0,160,32,1.028518557,0.205703711,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0,35.83333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,2228,179,2,32,0.0,0.0,0,0,0.0,0.0,0,0
80,82233930,8,6,56,11601,20,0,7.0,5.656854249,5840,0,1933.5,2189.772933,141.7541397,0.170246029,6325686.923,21300000.0,77100000,14,81100000,11600000.0,28900000.0,77100000,208,1136134,227226.8,496290.0079,1114873,14,0,0,0,0,172,132,0.097283445,0.072962584,0,5840,777.5333333,1633.102694,2667024.41,0,0,0,0,1,0,0,0,0,833.0714286,7.0,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,4018971.0,0.0,4018971,4018971,77100000.0,0.0,77100000,77100000
8090,23,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,347826.087,86956.52174,23.0,0.0,23,23,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,43478.26087,43478.26087,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
5666,43,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,186046.5116,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,23255.81395,23255.81395,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,172372,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,67487.75903,40.60984383,28728.66667,70009.68383,171635,7,674,337.0,394.5655839,616,58,172181,57393.66667,98936.25441,171635,7,0,0,0,0,72,92,17.40421878,23.20562504,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
80,83144354,6,8,357,11595,339,0,59.5,136.9580228,5792,0,1449.375,1895.881019,143.7499893,0.168381848,6395719.538,23000000.0,83000000,1,83000000,16600000.0,37100000.0,83000000,1,83100000,11900000.0,31400000.0,83000000,50,0,0,0,0,164,264,0.072163649,0.096218199,0,5792,797.2,1524.75301,2324871.743,1,0,0,0,0,0,0,0,1,854.1428571,59.5,1449.375,164,0,0,0,0,0,0,6,357,8,11595,0,235,3,20,17005.0,0.0,17005,17005,83000000.0,0.0,83000000,83000000
80,20044,2,2,12,11,6,6,6.0,0.0,11,0,5.5,7.778174593,1147.475554,199.5609659,6681.333333,10689.56544,19018,164,1026,1026.0,0.0,1026,1026,19880,19880.0,0.0,19880,19880,0,0,0,0,40,64,99.78048294,99.78048294,0,11,5.8,3.898717738,15.2,1,0,0,0,0,0,0,0,1,7.25,6.0,5.5,40,0,0,0,0,0,0,2,12,2,11,0,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0
